blockNumber,transactionIndex,address,transactionHash,logIndex,event_ilk,event_urn,event_ink,event_art,event_due,event_clip,event_id,timestamp,from
12591870,45,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5ce34fae4130c7d6c655f0bf2af4a2892a68c1bd17c5e54d990ab68d7a78a6b0,69,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0x67b6258ca1158614dC8b9C38e38902D3967ac7D9,71861.05122476052,952454.3954650898,971377001812200391982615733821346.204714243975066199,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,3.9e-17,1623128418,0xF89e33835E0Eb0e09666030695B674cDEF466e53
12591870,45,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5ce34fae4130c7d6c655f0bf2af4a2892a68c1bd17c5e54d990ab68d7a78a6b0,74,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0x953D2A384227a0289Ccb3DAbBDeeDA998357e683,20054.99602344962,261172.78784406022,266361561056175358925473026466893.677010178033410837,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,4e-17,1623128418,0xF89e33835E0Eb0e09666030695B674cDEF466e53
12591870,45,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5ce34fae4130c7d6c655f0bf2af4a2892a68c1bd17c5e54d990ab68d7a78a6b0,79,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0x3c748172617926d0D84Fa88512307ed44b989d35,13851.54979665435,183758.43795308558,187409204436921531443318585376119.361605997260143544,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,4.1e-17,1623128418,0xF89e33835E0Eb0e09666030695B674cDEF466e53
12591870,45,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5ce34fae4130c7d6c655f0bf2af4a2892a68c1bd17c5e54d990ab68d7a78a6b0,84,0x4554482d41000000000000000000000000000000000000000000000000000000,0x3FecC29f7017413529360Ed9740f70F7F584D468,34.4070711435602,54690.72190124447,57207119658156448486590548113863.72133551875153562,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.75e-16,1623128418,0xF89e33835E0Eb0e09666030695B674cDEF466e53
12594827,113,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x785a3e81509e4eb4d4ce16cb508a65046705eca1542974affa64f9b918a163f7,92,0x4554482d42000000000000000000000000000000000000000000000000000000,0x6841a1600911231cAFA4f6b8781d1d13Ba9674aa,13.576851719521349,23967.524117123314,25035170001191696922790573700881.307990887664228138,0x71eb894330e8a4b96b8d6056962e7F116F50e06F,1.2e-17,1623168007,0xF89e33835E0Eb0e09666030695B674cDEF466e53
12595101,231,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x7764cc803688264b54b3bc3f93472e8645a35548053cabb5e1abdb0e6abdae40,290,0x554e492d41000000000000000000000000000000000000000000000000000000,0x1ea48d5194d0532a5421e69a8386Ba1b72e844BD,988.2239205259059,11832.592473604394,12002462473855216770306642889768.142157461111244288,0x3713F83Ee6D138Ce191294C131148176015bC29a,3.6e-17,1623171615,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12595101,231,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x7764cc803688264b54b3bc3f93472e8645a35548053cabb5e1abdb0e6abdae40,295,0x554e492d41000000000000000000000000000000000000000000000000000000,0xCb9fEFf5D5B4DF1fd103B5b4a044D5403e194620,400,4931.384677736403,5002180179086819305305918370940.825619028791056016,0x3713F83Ee6D138Ce191294C131148176015bC29a,3.7e-17,1623171615,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12617467,95,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x1854c7d92056854a824dc6fea5c46fdafa3d06989392ca9cf764f91fc9f1c088,100,0x42414c2d41000000000000000000000000000000000000000000000000000000,0xA2A334Cfe84b730aeF34f85E1dfC559E2c0DF90b,1988.553732,24735.425831755572,25171409902411390415833489976729.628528871737699552,0x6AAc067bb903E633A422dE7BE9355E62B3CE0378,6e-18,1623470728,0xe51A8FeCfc17F7a6c1eEd2BfeA2dB20Cb850C922
12658795,85,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x9bc15e9cc0a6b71911dd74902ee19b3001fc31bde262df562b8ca588a316c8ca,53,0x4554482d41000000000000000000000000000000000000000000000000000000,0x3FecC29f7017413529360Ed9740f70F7F584D468,5.22028811926261,7648.0422380010705,8012120359871122839973692823405.522678560669776816,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.76e-16,1624024817,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12659616,21,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x10f7c8f85c00dc8a2eacd048ba6f40fa7184f5be1abf7d9c4e4887efaddd7389,43,0x4554482d41000000000000000000000000000000000000000000000000000000,0x5fBf039c562BE46EA6c9533B5924D2892F5Ad039,46.67588650709428,66080.77936910988,69227565949564679340789802171789.76015774117250765,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.77e-16,1624035621,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
