event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_top,event_tab,event_lot,event_usr,event_kpr,event_coin,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055050,3,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x28bbeb628284e1c1bae3483c7ca6735889a3639136892bb3fb071a87d85a8881,49,3.7e-16,2925564000000,11579757107052757124935090368596.116128860373842489,6,0xf7dB0b6c07035fC76948a30B31db59D5451c163F,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,311579757107052757124935090368.596116128860373842,1642849704,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055052,3,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x30b86b6d7f9624bf9f742e9c475f2eccb7a0046aa810acb03d1969d85a7518ec,27,3.71e-16,2925564000000,11344526861653173428847178403141.766394967783062795,5.95,0xdEB7E105c91772A92f3236B04b2Cec774E4a7278,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,311344526861653173428847178403.141766394967783062,1642849710,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055306,36,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x267d5f1fef1285adae655704db264b54985ada57707438d87496d911341c27ce,82,3.72e-16,2918256000000,60399643671395624428316204384098.155661721412606166,31.845411880729948,0xB0756F6b097C2251A680A0bB6B4fC59B23E2243B,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,360399643671395624428316204384.098155661721412606,1642852816,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14056891,19,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x3bd08b018c838ee5f0f23723e0198a5a55703bcda60a961f29b96f06cbedc214,22,3.73e-16,2910948000000,18433977401970815521753011183539.074008027219090537,9.748466980440927,0x55F62c81fC2750fFbFE0be49D17210a61d20e51F,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,318433977401970815521753011183.53907400802721909,1642874405,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057427,10,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x1efb979e0b61aba50bf27f094097ccaa98ce2d566bfa9421c20334c69b077ab4,20,3.74e-16,2844012000000,17548616077034155329104597755288.995647453957773339,9.5,0xa379BcEb1B74F6D941e9c8877007dF7B4fc872C2,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,317548616077034155329104597755.288995647453957773,1642881610,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,14,3.75e-16,2844012000000,16960102419077594606983766077218.761842914477855608,9,0x7ae3FD480b2Eb60F8BC8BF2cC8DE783Ba034D9F8,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,316960102419077594606983766077.218761842914477855,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,19,3.76e-16,2844012000000,301918107907843941982616487340511.837844345643031885,162.2,0x25342802b10C106D6319F78cF82a93cB2B93D261,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,601918107907843941982616487340.511837844345643031,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,24,3.77e-16,2844012000000,17870455816997702451751290826428.401964860482679412,9.48036188423096,0x783370125B25D01Ab696755Fe15628656b5aEad0,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,317870455816997702451751290826.428401964860482679,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,29,3.78e-16,2844012000000,87218598867896527511111194230426.861329643336769873,46.7,0x58cF61DeD70b5336120eACA30D7a0A74F57dBCc5,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,387218598867896527511111194230.426861329643336769,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,34,3.79e-16,2844012000000,54022241093644645822495628580684.107142984633950437,29,0xa7E2cDeb3CFB2D4838d57B7C1Da779D38191B571,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,354022241093644645822495628580.68410714298463395,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,39,3.8e-16,2844012000000,68164269697595537225848321366941.215986434190571029,36.8,0x26C4C4e9277AF85CA0DB92d1a76477289bc5D3aC,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,368164269697595537225848321366.941215986434190571,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,44,3.81e-16,2844012000000,55632663941690136856869496647918.693617303914107696,30.005615566138527,0x90c9967fA90d92EE90ff920e9d45B78F02cEBBD3,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,355632663941690136856869496647.918693617303914107,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,49,3.82e-16,2844012000000,28565584216106834095829230399100.036362709090245226,15.145685209139135,0xf2dfd777d50bbF108Cb7e977Bc063E4A6bAf7Ba3,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,328565584216106834095829230399.100036362709090245,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14057428,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,54,3.83e-16,2844012000000,22182813856546043949612724824464.551872040085406428,12,0x14FD227c55B40F9De2F229583C28277C915698BA,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,322182813856546043949612724824.464551872040085406,1642881616,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14067946,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x961d0da0a9df4e32b72472f974ce3bcd19cdad675226ab3bcaa509cc268c74f6,7,3.84e-16,2814889279351.2,18545086208357482958964665842535.848311564163018777,10.093700147212022,0x6b59243154e73A5d465C0822Ca3CAeA7deC24eEc,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,318545086208357482958964665842.535848311564163018,1643022004,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14067946,8,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x1554d91a21d49c2803202a7ef81a903dc1251ffccc880ac601bd6e61da22b407,33,3.85e-16,2814889279351.2,20229678053683683021104794381049.655809324399106528,11,0x3e04B623F8e33153464eBC91763987E259099B4b,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,320229678053683683021104794381.049655809324399106,1643022004,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14067948,4,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x948c6506df0a135f1e68f433ce41ecbe4b737dd7221536abfae50ab6fcd08e5f,22,3.86e-16,2814889279351.2,14745972808582240101525474935566.798717645043877957,8,0x31e69Db4Cc8AF1a7ba88269A8FBfb4e00010704d,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,314745972808582240101525474935.566798717645043877,1643022008,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14067948,4,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x948c6506df0a135f1e68f433ce41ecbe4b737dd7221536abfae50ab6fcd08e5f,27,3.87e-16,2814889279351.2,71791712591872601907025369263857.010870324376843102,39.00195029414825,0x9BD7d34406fc9bBe741af86900779a83F957D2b3,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,371791712591872601907025369263.857010870324376843,1643022008,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
